ID;Year;City;Brand;Spontaneous;Awareness;Trial;P3M;P1M;Comprehension;Brand_Likability;Weekly;Daily;Fre#visit;PPA;Spending;Segmentation;NPS#P3M;NPS#P3M#Group;Spending_use
345853;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
348403;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
349552;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
349764;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
350072;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
350090;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
350148;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
350491;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
350822;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
351105;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
351106;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
351107;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
351109;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
351110;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
351114;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
351651;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
351905;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
352059;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
352980;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
352984;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
353154;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
353418;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
353618;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
353619;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
353621;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
365681;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
366883;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
366889;2018;Hồ Chí Minh;Phúc Long;;Phúc Long;;;;;;;;;;;;;;
