ID,Visit,PPA,Segmentation ID,Brand
92316,4,30,2,Indepentdent
96307,4,30,2,Indepentdent
105678,4,30,2,Indepentdent
106554,4,30,2,Indepentdent
106555,4,30,2,Indepentdent
109195,4,30,2,Indepentdent
109445,4,30,2,Indepentdent
110391,4,30,2,Indepentdent
111100,4,30,2,Indepentdent
111144,4,30,2,Indepentdent
112337,4,30,2,Indepentdent
112823,4,30,2,Indepentdent
118245,4,30,2,Indepentdent
118395,4,30,2,Indepentdent
118401,4,30,2,Indepentdent
118667,4,30,2,Indepentdent
120063,4,30,2,Indepentdent
120087,4,30,2,Indepentdent
120187,4,30,2,Indepentdent
121222,4,30,2,Indepentdent
121549,4,30,2,Indepentdent
121569,4,30,2,Indepentdent
121570,4,30,2,Indepentdent
121571,4,30,2,Indepentdent
122320,4,30,2,Indepentdent
122818,4,30,2,Indepentdent
122859,4,30,2,Indepentdent
123379,4,30,2,Indepentdent
123637,4,30,2,Indepentdent
123638,4,30,2,Indepentdent
123780,4,30,2,Indepentdent
123936,4,30,2,Indepentdent
123937,4,30,2,Indepentdent
124301,4,30,2,Indepentdent
124574,4,30,2,Indepentdent
124581,4,30,2,Indepentdent
125953,4,30,2,Indepentdent
127337,4,30,2,Indepentdent
131462,4,30,2,Indepentdent
132692,4,30,2,Indepentdent
132980,4,30,2,Indepentdent
133482,4,30,2,Indepentdent
134323,4,30,2,Indepentdent
134346,4,30,2,Indepentdent
134348,4,30,2,Indepentdent
134349,4,30,2,Indepentdent
134411,4,30,2,Indepentdent
134445,4,30,2,Indepentdent
134934,4,30,2,Indepentdent
134947,4,30,2,Indepentdent
134949,4,30,2,Indepentdent
134982,4,30,2,Indepentdent
135155,4,30,2,Indepentdent
135164,4,30,2,Indepentdent
135368,4,30,2,Indepentdent
136213,4,30,2,Indepentdent
136351,4,30,2,Indepentdent
138099,4,30,2,Indepentdent
138298,4,30,2,Indepentdent
138528,4,30,2,Indepentdent
138562,4,30,2,Indepentdent
138691,4,30,2,Indepentdent
139211,4,30,2,Indepentdent
139310,4,30,2,Indepentdent
139951,4,30,2,Indepentdent
139994,4,30,2,Indepentdent
140009,4,30,2,Indepentdent
140030,4,30,2,Indepentdent
140095,4,30,2,Indepentdent
140096,4,30,2,Indepentdent
140098,4,30,2,Indepentdent
140236,4,30,2,Indepentdent
140237,4,30,2,Indepentdent
140239,4,30,2,Indepentdent
140296,4,30,2,Indepentdent
140297,4,30,2,Indepentdent
140317,4,30,2,Indepentdent
140346,4,30,2,Indepentdent
140349,4,30,2,Indepentdent
140353,4,30,2,Indepentdent
140355,4,30,2,Indepentdent
140484,4,30,2,Indepentdent
140509,4,30,2,Indepentdent
140583,4,30,2,Indepentdent
140687,4,30,2,Indepentdent
140688,4,30,2,Indepentdent
140692,4,30,2,Indepentdent
140695,4,30,2,Indepentdent
140701,4,30,2,Indepentdent
92616,4,30,2,Chain
98281,4,30,2,Street
106656,4,30,2,Street
109256,4,30,2,Chain
110590,4,30,2,Chain
112525,4,30,2,Chain
112586,4,30,2,Chain
116047,4,30,2,Chain
118200,4,30,2,Chain
119468,4,30,2,Chain
120065,4,30,2,Chain
121531,4,30,2,Street
121617,4,30,2,Chain
121627,4,30,2,Chain
121630,4,30,2,Chain
121680,4,30,2,Street
122971,4,30,2,Street
123899,4,30,2,Street
124742,4,30,2,Chain
125745,4,30,2,Chain
126754,4,30,2,Street
134476,4,30,2,Chain
134565,4,30,2,Chain
134958,4,30,2,Chain
135173,4,30,2,Chain
135175,4,30,2,Chain
135377,4,30,2,Street
136069,4,30,2,Chain
136350,4,30,2,Street
138352,4,30,2,Chain
138506,4,30,2,Chain
140313,4,30,2,Chain
140326,4,30,2,Chain
140337,4,30,2,Street
140668,4,30,2,Street
140670,4,30,2,Chain
140698,4,30,2,Chain
140755,4,30,2,Street
95055,4,20,1,Chain
97485,4,20,1,Street
103001,4,20,1,Street
108892,4,20,1,Street
109810,4,20,1,Chain
110803,4,20,1,Street
112922,4,20,1,Street
117139,4,20,1,Chain
117500,4,20,1,Chain
119601,4,20,1,Street
121443,4,20,1,Street
124229,4,20,1,Chain
132798,4,20,1,Street
133131,4,20,1,Street
133756,4,20,1,Street
136069,4,20,1,Street
138613,4,20,1,Street
138715,4,20,1,Street
138756,4,20,1,Street
138880,4,20,1,Street
140280,4,20,1,Street
93979,4,20,1,Indepentdent
94201,4,20,1,Indepentdent
95729,4,20,1,Indepentdent
103541,4,20,1,Indepentdent
106832,4,20,1,Indepentdent
107048,4,20,1,Indepentdent
109136,4,20,1,Indepentdent
110051,4,20,1,Indepentdent
110388,4,20,1,Indepentdent
110394,4,20,1,Indepentdent
111088,4,20,1,Indepentdent
111106,4,20,1,Indepentdent
111450,4,20,1,Indepentdent
112099,4,20,1,Indepentdent
112196,4,20,1,Indepentdent
112201,4,20,1,Indepentdent
112346,4,20,1,Indepentdent
112347,4,20,1,Indepentdent
112538,4,20,1,Indepentdent
112566,4,20,1,Indepentdent
112567,4,20,1,Indepentdent
112588,4,20,1,Indepentdent
112589,4,20,1,Indepentdent
112819,4,20,1,Indepentdent
114430,4,20,1,Indepentdent
114472,4,20,1,Indepentdent
118280,4,20,1,Indepentdent
119488,4,20,1,Indepentdent
119615,4,20,1,Indepentdent
120122,4,20,1,Indepentdent
122076,4,20,1,Indepentdent
123776,4,20,1,Indepentdent
123778,4,20,1,Indepentdent
123862,4,20,1,Indepentdent
123954,4,20,1,Indepentdent
124580,4,20,1,Indepentdent
125025,4,20,1,Indepentdent
125495,4,20,1,Indepentdent
125684,4,20,1,Indepentdent
125693,4,20,1,Indepentdent
125699,4,20,1,Indepentdent
125741,4,20,1,Indepentdent
125742,4,20,1,Indepentdent
125860,4,20,1,Indepentdent
125957,4,20,1,Indepentdent
127808,4,20,1,Indepentdent
132281,4,20,1,Indepentdent
132903,4,20,1,Indepentdent
133483,4,20,1,Indepentdent
133484,4,20,1,Indepentdent
133887,4,20,1,Indepentdent
133921,4,20,1,Indepentdent
133932,4,20,1,Indepentdent
133941,4,20,1,Indepentdent
134364,4,20,1,Indepentdent
134371,4,20,1,Indepentdent
134375,4,20,1,Indepentdent
